Nanometers	Counts
294.1	0.0
294.7	0.0
295.2	0.0
295.8	0.0
296.3	0.0
296.9	0.0
297.4	0.0
297.9	0.0
298.5	0.0
299.0	0.0
299.6	0.0
300.1	0.0
300.7	0.0
301.2	0.0
301.7	0.0
302.3	0.0
302.8	0.0
303.4	0.0
303.9	0.0
304.5	0.0
305.0	0.0
305.6	0.0
306.1	0.0
306.6	0.0
307.2	0.0
307.7	0.0
308.3	0.0
308.8	0.0
309.4	0.0
309.9	0.1
310.5	0.0
311.0	0.0
311.5	0.0
312.1	0.0
312.6	0.0
313.2	0.0
313.7	0.0
314.3	0.0
314.8	0.0
315.3	0.0
315.9	0.0
316.4	0.0
317.0	0.0
317.5	0.0
318.1	0.0
318.6	0.3
319.2	0.0
319.7	0.6
320.2	0.5
320.8	1.1
321.3	1.1
321.9	1.7
322.4	2.3
323.0	3.7
323.5	4.6
324.0	7.6
324.6	9.6
325.1	13.9
325.7	17.8
326.2	23.3
326.8	29.6
327.3	39.3
327.9	47.0
328.4	60.4
328.9	72.8
329.5	87.8
330.0	105.8
330.6	125.6
331.1	146.3
331.7	171.2
332.2	194.3
332.8	222.6
333.3	248.2
333.8	275.8
334.4	301.7
334.9	327.6
335.5	351.5
336.0	377.4
336.6	395.9
337.1	414.5
337.6	427.5
338.2	436.9
338.7	442.3
339.3	445.9
339.8	443.7
340.4	441.3
340.9	433.1
341.5	423.8
342.0	409.1
342.5	394.3
343.1	377.9
343.6	361.5
344.2	342.5
344.7	324.8
345.3	305.7
345.8	288.6
346.4	268.3
346.9	250.4
347.4	230.2
348.0	211.8
348.5	191.2
349.1	173.3
349.6	154.0
350.2	138.5
350.7	121.7
351.2	108.6
351.8	97.8
352.3	89.7
352.9	80.3
353.4	75.0
354.0	68.4
354.5	65.4
355.1	60.4
355.6	57.8
356.1	55.1
356.7	54.0
357.2	51.2
357.8	50.5
358.3	47.9
358.9	47.7
359.4	45.8
359.9	45.1
360.5	44.1
361.0	43.7
361.6	42.2
362.1	41.9
362.7	40.3
363.2	40.0
363.8	38.1
364.3	37.4
364.8	35.5
365.4	34.2
365.9	32.1
366.5	31.2
367.0	28.7
367.6	28.3
368.1	25.4
368.7	24.8
369.2	22.9
369.7	22.2
370.3	20.7
370.8	20.5
371.4	18.8
371.9	18.7
372.5	17.2
373.0	17.1
373.5	16.1
374.1	16.2
374.6	15.6
375.2	15.5
375.7	14.7
376.3	15.2
376.8	14.6
377.4	14.8
377.9	14.2
378.4	14.4
379.0	13.6
379.5	14.0
380.1	13.2
380.6	13.6
381.2	12.7
381.7	13.3
382.3	12.5
382.8	12.3
383.3	11.8
383.9	12.2
384.4	11.3
385.0	11.9
385.5	10.7
386.1	11.1
386.6	10.5
387.1	10.3
387.7	9.8
388.2	9.6
388.8	8.6
389.3	9.0
389.9	8.2
390.4	8.0
391.0	7.4
391.5	7.5
392.0	6.6
392.6	6.9
393.1	6.1
393.7	6.5
394.2	5.9
394.8	6.0
395.3	5.5
395.8	5.5
396.4	5.1
396.9	5.4
397.5	4.6
398.0	4.9
398.6	4.1
399.1	4.3
399.7	3.9
400.2	4.0
400.7	3.3
401.3	3.5
401.8	2.6
402.4	3.0
402.9	2.4
403.5	2.5
404.0	2.1
404.6	2.1
405.1	1.7
405.6	1.7
406.2	0.9
406.7	1.2
407.3	0.9
407.8	1.0
408.4	0.6
408.9	0.7
409.4	0.4
410.0	0.5
410.5	0.0
411.1	0.4
411.6	0.0
412.2	0.0
412.7	0.0
413.3	0.0
413.8	0.0
414.3	0.0
414.9	0.0
415.4	0.0
416.0	0.0
416.5	0.0
417.1	0.0
417.6	0.0
418.1	0.0
418.7	0.0
419.2	0.0
419.8	0.0
420.3	0.0
420.9	0.0
421.4	0.0
422.0	0.0
422.5	0.0
423.0	0.0
423.6	0.0
424.1	0.0
424.7	0.0
425.2	0.0
425.8	0.0
426.3	0.0
426.9	0.0
427.4	0.0
427.9	0.0
428.5	0.0
429.0	0.0
429.6	0.0
430.1	0.0
430.7	0.0
431.2	0.0
431.7	0.0
432.3	0.0
432.8	0.0
433.4	0.0
433.9	0.0
434.5	0.0
435.0	0.0
435.6	0.0
436.1	0.0
436.6	0.0
437.2	0.0
437.7	0.0
438.3	0.0
438.8	0.0
439.4	0.0
439.9	0.0
440.5	0.0
441.0	0.0
441.5	0.0
442.1	0.0
442.6	0.0
443.2	0.0
443.7	0.0
444.3	0.0
444.8	0.0
445.3	0.0
445.9	0.0
446.4	0.0
447.0	0.0
447.5	0.0
448.1	0.0
448.6	0.0
449.2	0.0
449.7	0.0
450.2	0.0
450.8	0.0
451.3	0.0
451.9	0.0
452.4	0.0
453.0	0.0
453.5	0.0
454.0	0.0
454.6	0.0
455.1	0.0
455.7	0.0
456.2	0.0
456.8	0.0
457.3	0.0
457.9	0.0
458.4	0.0
458.9	0.0
459.5	0.0
460.0	0.0
460.6	0.0
461.1	0.0
461.7	0.0
462.2	0.0
462.8	0.0
463.3	0.0
463.8	0.0
464.4	0.0
464.9	0.0
465.5	0.0
466.0	0.0
