Nanometers	Counts
294.1	0.0
294.7	0.0
295.2	0.0
295.8	0.0
296.3	0.0
296.9	0.0
297.4	0.0
297.9	0.0
298.5	0.0
299.0	0.0
299.6	0.0
300.1	0.0
300.7	0.0
301.2	0.0
301.7	0.0
302.3	0.0
302.8	0.0
303.4	0.0
303.9	0.0
304.5	0.0
305.0	0.0
305.6	0.0
306.1	0.0
306.6	0.0
307.2	0.0
307.7	0.0
308.3	0.0
308.8	0.0
309.4	0.0
309.9	0.0
310.5	0.0
311.0	0.0
311.5	0.0
312.1	0.0
312.6	0.0
313.2	0.0
313.7	0.0
314.3	0.0
314.8	0.0
315.3	0.0
315.9	0.0
316.4	0.0
317.0	0.0
317.5	0.0
318.1	0.0
318.6	0.0
319.2	0.0
319.7	0.0
320.2	0.0
320.8	0.0
321.3	0.0
321.9	0.0
322.4	0.0
323.0	0.0
323.5	0.0
324.0	0.0
324.6	0.0
325.1	0.0
325.7	0.0
326.2	0.0
326.8	0.0
327.3	0.0
327.9	0.0
328.4	0.0
328.9	0.0
329.5	0.0
330.0	0.0
330.6	0.0
331.1	0.0
331.7	0.0
332.2	0.0
332.8	0.0
333.3	0.0
333.8	0.0
334.4	0.0
334.9	0.0
335.5	0.0
336.0	0.0
336.6	1.4
337.1	5.5
337.6	17.4
338.2	15.7
338.7	0.0
339.3	0.0
339.8	0.0
340.4	0.0
340.9	0.0
341.5	0.0
342.0	0.0
342.5	0.0
343.1	0.0
343.6	0.0
344.2	0.0
344.7	0.0
345.3	0.0
345.8	0.0
346.4	0.0
346.9	0.0
347.4	0.0
348.0	0.0
348.5	0.0
349.1	0.0
349.6	0.0
350.2	0.0
350.7	0.0
351.2	0.0
351.8	0.0
352.3	0.0
352.9	0.0
353.4	0.0
354.0	0.0
354.5	0.0
355.1	0.0
355.6	0.0
356.1	0.0
356.7	0.0
357.2	0.0
357.8	1.7
358.3	12.8
358.9	67.8
359.4	145.7
359.9	15.6
360.5	0.0
361.0	0.0
361.6	0.0
362.1	0.0
362.7	0.0
363.2	0.0
363.8	0.0
364.3	0.0
364.8	0.0
365.4	0.0
365.9	0.0
366.5	0.0
367.0	0.0
367.6	0.0
368.1	0.0
368.7	0.0
369.2	0.0
369.7	0.0
370.3	0.0
370.8	0.0
371.4	0.0
371.9	0.0
372.5	0.0
373.0	0.0
373.5	0.0
374.1	0.0
374.6	0.0
375.2	0.0
375.7	0.0
376.3	0.0
376.8	0.0
377.4	0.0
377.9	0.0
378.4	0.0
379.0	0.0
379.5	0.0
380.1	0.0
380.6	0.0
381.2	0.0
381.7	0.0
382.3	0.0
382.8	0.0
383.3	0.0
383.9	0.0
384.4	0.0
385.0	0.0
385.5	0.0
386.1	0.0
386.6	0.0
387.1	0.0
387.7	0.0
388.2	0.0
388.8	0.0
389.3	0.0
389.9	0.0
390.4	0.0
391.0	0.0
391.5	0.0
392.0	0.0
392.6	0.0
393.1	0.0
393.7	0.0
394.2	0.0
394.8	0.0
395.3	0.0
395.8	0.0
396.4	0.0
396.9	0.0
397.5	0.0
398.0	0.0
398.6	0.0
399.1	0.0
399.7	0.0
400.2	0.0
400.7	0.0
401.3	0.0
401.8	0.0
402.4	0.0
402.9	0.0
403.5	0.0
404.0	0.0
404.6	0.0
405.1	0.0
405.6	0.0
406.2	0.0
406.7	0.0
407.3	0.0
407.8	0.0
408.4	0.0
408.9	0.0
409.4	0.0
410.0	0.0
410.5	0.0
411.1	0.0
411.6	0.0
412.2	0.0
412.7	0.0
413.3	0.0
413.8	0.0
414.3	0.0
414.9	0.0
415.4	0.0
416.0	0.0
416.5	0.0
417.1	0.0
417.6	0.0
418.1	0.0
418.7	0.0
419.2	0.0
419.8	0.0
420.3	0.0
420.9	0.0
421.4	0.0
422.0	0.0
422.5	0.0
423.0	0.0
423.6	0.0
424.1	0.0
424.7	0.0
425.2	0.0
425.8	0.0
426.3	0.0
426.9	0.0
427.4	0.0
427.9	0.0
428.5	0.0
429.0	0.0
429.6	0.0
430.1	0.0
430.7	0.0
431.2	0.0
431.7	0.0
432.3	0.0
432.8	6.8
433.4	40.0
433.9	206.2
434.5	252.3
435.0	12.3
435.6	0.0
436.1	0.0
436.6	0.0
437.2	0.0
437.7	0.0
438.3	0.0
438.8	0.0
439.4	0.0
439.9	0.0
440.5	0.0
441.0	0.0
441.5	0.0
442.1	0.0
442.6	0.0
443.2	0.0
443.7	0.0
444.3	0.0
444.8	0.0
445.3	0.0
445.9	0.0
446.4	0.0
447.0	0.0
447.5	0.0
448.1	0.0
448.6	0.0
449.2	0.0
449.7	0.0
450.2	0.0
450.8	0.0
451.3	0.0
451.9	0.0
452.4	0.0
453.0	0.0
453.5	0.0
454.0	0.0
454.6	6.5
455.1	23.1
455.7	4.0
456.2	19.0
456.8	18.9
457.3	0.0
457.9	0.0
458.4	0.0
458.9	0.0
459.5	0.0
460.0	0.0
460.6	0.0
461.1	0.0
461.7	0.0
462.2	0.0
462.8	0.0
463.3	0.0
463.8	0.0
464.4	0.0
464.9	0.0
465.5	0.0
466.0	0.0
