Nanometers	Counts
294.1	4.1
294.7	4.7
295.2	4.5
295.8	5.2
296.3	4.9
296.9	5.4
297.4	5.3
297.9	5.7
298.5	5.6
299.0	6.4
299.6	6.1
300.1	6.8
300.7	6.2
301.2	7.0
301.7	6.8
302.3	7.1
302.8	6.7
303.4	7.5
303.9	7.2
304.5	8.0
305.0	7.4
305.6	8.5
306.1	8.5
306.6	9.2
307.2	9.1
307.7	10.2
308.3	10.0
308.8	11.0
309.4	10.8
309.9	11.9
310.5	12.0
311.0	12.7
311.5	13.0
312.1	14.2
312.6	14.1
313.2	15.8
313.7	15.5
314.3	17.3
314.8	18.2
315.3	20.2
315.9	21.4
316.4	23.8
317.0	25.9
317.5	30.9
318.1	36.0
318.6	45.4
319.2	54.4
319.7	66.4
320.2	80.6
320.8	96.4
321.3	111.4
321.9	127.9
322.4	142.7
323.0	160.0
323.5	176.5
324.0	189.9
324.6	200.2
325.1	210.4
325.7	218.5
326.2	227.7
326.8	234.7
327.3	243.4
327.9	250.6
328.4	259.4
328.9	266.2
329.5	274.0
330.0	280.6
330.6	289.8
331.1	297.4
331.7	307.0
332.2	315.8
332.8	326.1
333.3	336.3
333.8	348.2
334.4	358.7
334.9	370.8
335.5	381.0
336.0	394.7
336.6	405.3
337.1	415.6
337.6	424.4
338.2	432.3
338.7	437.1
339.3	442.1
339.8	443.1
340.4	444.1
340.9	441.6
341.5	438.9
342.0	433.9
342.5	427.9
343.1	420.0
343.6	413.2
344.2	403.6
344.7	394.8
345.3	385.0
345.8	376.0
346.4	367.2
346.9	359.0
347.4	349.3
348.0	341.8
348.5	332.2
349.1	325.0
349.6	316.9
350.2	310.2
350.7	302.8
351.2	296.9
351.8	290.7
352.3	286.3
352.9	280.5
353.4	276.9
354.0	272.4
354.5	268.9
355.1	264.6
355.6	261.7
356.1	257.4
356.7	255.4
357.2	251.1
357.8	249.0
358.3	245.2
358.9	242.8
359.4	239.0
359.9	236.3
360.5	232.6
361.0	230.3
361.6	226.3
362.1	223.8
362.7	219.6
363.2	216.4
363.8	211.8
364.3	208.0
364.8	202.7
365.4	198.9
365.9	192.5
366.5	188.2
367.0	182.3
367.6	177.5
368.1	171.2
368.7	166.3
369.2	160.3
369.7	155.7
370.3	148.4
370.8	144.0
371.4	137.9
371.9	132.9
372.5	127.0
373.0	122.6
373.5	117.4
374.1	114.1
374.6	109.6
375.2	107.0
375.7	103.1
376.3	100.5
376.8	98.0
377.4	95.9
377.9	93.1
378.4	91.8
379.0	89.1
379.5	88.0
380.1	85.6
380.6	84.6
381.2	82.7
381.7	82.3
382.3	80.6
382.8	80.2
383.3	78.3
383.9	77.7
384.4	76.4
385.0	76.0
385.5	74.6
386.1	74.0
386.6	72.3
387.1	72.2
387.7	70.6
388.2	70.0
388.8	68.2
389.3	67.6
389.9	66.1
390.4	65.5
391.0	63.9
391.5	63.4
392.0	61.1
392.6	60.8
393.1	59.8
393.7	59.1
394.2	57.7
394.8	57.1
395.3	55.4
395.8	55.1
396.4	53.3
396.9	53.2
397.5	51.1
398.0	50.2
398.6	48.8
399.1	48.0
399.7	46.0
400.2	45.6
400.7	43.5
401.3	43.0
401.8	41.4
402.4	41.0
402.9	39.6
403.5	38.6
404.0	36.7
404.6	36.5
405.1	34.4
405.6	33.6
406.2	31.7
406.7	31.1
407.3	29.6
407.8	29.1
408.4	27.5
408.9	27.3
409.4	25.5
410.0	24.7
410.5	23.5
411.1	23.3
411.6	22.0
412.2	21.4
412.7	20.4
413.3	20.7
413.8	19.3
414.3	19.2
414.9	18.0
415.4	17.8
416.0	16.8
416.5	16.8
417.1	15.7
417.6	16.1
418.1	14.7
418.7	15.0
419.2	14.2
419.8	14.2
420.3	13.5
420.9	13.7
421.4	12.9
422.0	13.3
422.5	12.6
423.0	12.9
423.6	12.1
424.1	12.0
424.7	11.7
425.2	12.1
425.8	11.2
426.3	11.6
426.9	10.5
427.4	10.9
427.9	10.4
428.5	10.6
429.0	9.9
429.6	10.0
430.1	9.0
430.7	9.1
431.2	8.3
431.7	8.6
432.3	8.2
432.8	8.1
433.4	7.3
433.9	7.4
434.5	6.9
435.0	7.1
435.6	6.2
436.1	6.5
436.6	5.8
437.2	5.8
437.7	5.2
438.3	5.3
438.8	4.9
439.4	5.1
439.9	4.4
440.5	4.8
441.0	4.3
441.5	4.5
442.1	4.0
442.6	4.0
443.2	3.7
443.7	3.9
444.3	3.3
444.8	3.6
445.3	3.2
445.9	3.5
446.4	3.3
447.0	3.4
447.5	3.0
448.1	3.4
448.6	2.8
449.2	3.4
449.7	3.0
450.2	3.1
450.8	2.8
451.3	2.9
451.9	2.5
452.4	3.0
453.0	2.3
453.5	2.8
454.0	2.5
454.6	2.8
455.1	2.5
455.7	2.8
456.2	2.4
456.8	2.8
457.3	2.2
457.9	2.7
458.4	2.3
458.9	2.4
459.5	2.3
460.0	2.6
460.6	2.0
461.1	2.3
461.7	1.9
462.2	2.3
462.8	1.8
463.3	2.1
463.8	2.0
464.4	2.3
464.9	1.8
465.5	2.0
466.0	1.5
