Nanometers	Counts
294.1	6.9
294.7	7.9
295.2	7.4
295.8	8.2
296.3	7.8
296.9	8.5
297.4	8.4
297.9	9.1
298.5	8.9
299.0	9.6
299.6	9.1
300.1	10.0
300.7	9.1
301.2	10.2
301.7	10.0
302.3	10.5
302.8	10.4
303.4	11.3
303.9	11.2
304.5	12.1
305.0	11.8
305.6	12.8
306.1	13.0
306.6	13.6
307.2	13.5
307.7	14.7
308.3	14.6
308.8	15.8
309.4	15.4
309.9	17.0
310.5	17.0
311.0	17.7
311.5	18.0
312.1	19.5
312.6	19.3
313.2	21.0
313.7	20.9
314.3	23.0
314.8	23.9
315.3	26.4
315.9	27.6
316.4	29.8
317.0	32.4
317.5	38.0
318.1	43.2
318.6	52.6
319.2	62.7
319.7	75.5
320.2	91.2
320.8	107.5
321.3	124.2
321.9	141.6
322.4	156.6
323.0	174.2
323.5	188.4
324.0	202.2
324.6	211.9
325.1	220.5
325.7	226.2
326.2	232.3
326.8	237.1
327.3	243.5
327.9	248.4
328.4	254.7
328.9	260.0
329.5	267.2
330.0	273.2
330.6	280.6
331.1	286.6
331.7	294.3
332.2	302.6
332.8	312.0
333.3	320.8
333.8	331.7
334.4	340.9
334.9	352.6
335.5	362.3
336.0	375.0
336.6	384.8
337.1	394.8
337.6	403.5
338.2	410.9
338.7	415.5
339.3	420.0
339.8	421.1
340.4	422.3
340.9	419.9
341.5	416.6
342.0	411.7
342.5	406.3
343.1	398.1
343.6	391.3
344.2	381.8
344.7	373.9
345.3	365.0
345.8	357.2
346.4	347.9
346.9	340.0
347.4	331.2
348.0	324.3
348.5	315.4
349.1	308.5
349.6	301.1
350.2	295.1
350.7	288.7
351.2	283.2
351.8	277.8
352.3	274.2
352.9	269.1
353.4	266.5
354.0	262.3
354.5	259.4
355.1	255.8
355.6	253.4
356.1	249.8
356.7	248.3
357.2	244.5
357.8	242.8
358.3	239.5
358.9	237.8
359.4	234.1
359.9	231.4
360.5	227.9
361.0	225.5
361.6	221.0
362.1	218.0
362.7	213.2
363.2	208.9
363.8	203.9
364.3	199.6
364.8	193.7
365.4	189.6
365.9	183.5
366.5	179.7
367.0	173.7
367.6	168.4
368.1	163.0
368.7	158.5
369.2	152.2
369.7	147.7
370.3	140.7
370.8	136.0
371.4	129.9
371.9	124.6
372.5	119.1
373.0	114.7
373.5	109.9
374.1	106.9
374.6	102.6
375.2	99.9
375.7	96.3
376.3	93.9
376.8	91.4
377.4	89.4
377.9	86.8
378.4	85.6
379.0	83.1
379.5	82.6
380.1	80.7
380.6	79.8
381.2	78.1
381.7	77.7
382.3	76.3
382.8	76.5
383.3	74.8
383.9	74.8
384.4	73.5
385.0	73.5
385.5	72.1
386.1	71.8
386.6	70.4
387.1	70.6
387.7	68.5
388.2	68.1
388.8	66.7
389.3	66.3
389.9	64.6
390.4	64.1
391.0	62.7
391.5	62.4
392.0	60.6
392.6	60.1
393.1	59.2
393.7	58.9
394.2	57.6
394.8	57.2
395.3	55.5
395.8	55.2
396.4	53.6
396.9	53.5
397.5	51.5
398.0	51.0
398.6	49.5
399.1	48.7
399.7	46.7
400.2	46.6
400.7	44.6
401.3	44.0
401.8	42.0
402.4	41.4
402.9	40.0
403.5	38.8
404.0	36.8
404.6	36.3
405.1	34.0
405.6	33.2
406.2	31.4
406.7	30.6
407.3	29.0
407.8	28.1
408.4	26.3
408.9	25.9
409.4	23.9
410.0	23.5
410.5	22.0
411.1	21.6
411.6	20.3
412.2	19.8
412.7	18.4
413.3	18.5
413.8	17.0
414.3	16.9
414.9	15.6
415.4	15.2
416.0	14.3
416.5	14.4
417.1	13.4
417.6	13.7
418.1	12.4
418.7	12.8
419.2	11.9
419.8	12.2
420.3	11.8
420.9	11.9
421.4	11.1
422.0	11.4
422.5	10.6
423.0	10.9
423.6	10.0
424.1	10.0
424.7	9.6
425.2	9.8
425.8	9.0
426.3	9.3
426.9	8.3
427.4	8.8
427.9	8.0
428.5	8.2
429.0	7.6
429.6	7.9
430.1	6.8
430.7	7.1
431.2	6.4
431.7	6.7
432.3	6.1
432.8	6.1
433.4	5.6
433.9	5.6
434.5	5.1
435.0	5.4
435.6	4.5
436.1	4.6
436.6	4.1
437.2	4.2
437.7	3.6
438.3	3.6
438.8	3.1
439.4	3.4
439.9	2.8
440.5	3.1
441.0	2.7
441.5	2.8
442.1	2.5
442.6	2.7
443.2	2.1
443.7	2.5
444.3	1.8
444.8	2.1
445.3	2.0
445.9	2.2
446.4	1.8
447.0	2.0
447.5	1.6
448.1	1.9
448.6	1.4
449.2	1.8
449.7	1.3
450.2	1.4
450.8	1.3
451.3	1.4
451.9	1.0
452.4	1.3
453.0	0.9
453.5	1.2
454.0	1.0
454.6	1.1
455.1	1.0
455.7	1.2
456.2	0.9
456.8	1.3
457.3	0.7
457.9	1.1
458.4	0.8
458.9	1.0
459.5	0.9
460.0	1.1
460.6	0.6
461.1	1.0
461.7	0.6
462.2	1.0
462.8	0.7
463.3	0.8
463.8	0.6
464.4	0.8
464.9	0.4
465.5	0.7
466.0	0.4
