Nanometers	Counts
294.1	7.2
294.7	8.2
295.2	7.8
295.8	9.0
296.3	8.6
296.9	9.3
297.4	8.9
297.9	9.7
298.5	9.5
299.0	10.1
299.6	9.7
300.1	10.6
300.7	9.8
301.2	10.9
301.7	10.6
302.3	11.1
302.8	10.8
303.4	11.6
303.9	11.5
304.5	12.4
305.0	12.2
305.6	13.0
306.1	13.5
306.6	14.3
307.2	14.0
307.7	15.3
308.3	15.1
308.8	16.4
309.4	16.1
309.9	17.4
310.5	17.5
311.0	18.2
311.5	18.4
312.1	19.9
312.6	19.7
313.2	21.5
313.7	21.5
314.3	23.4
314.8	24.4
315.3	26.8
315.9	28.3
316.4	30.9
317.0	33.5
317.5	38.5
318.1	43.7
318.6	53.5
319.2	63.8
319.7	76.7
320.2	91.7
320.8	108.3
321.3	125.0
321.9	143.1
322.4	158.0
323.0	175.9
323.5	191.1
324.0	205.1
324.6	215.4
325.1	224.4
325.7	231.4
326.2	238.0
326.8	242.7
327.3	249.1
327.9	254.3
328.4	260.8
328.9	266.3
329.5	273.4
330.0	279.6
330.6	287.1
331.1	293.1
331.7	301.1
332.2	309.0
332.8	318.4
333.3	327.2
333.8	337.5
334.4	346.6
334.9	358.3
335.5	367.7
336.0	380.9
336.6	390.5
337.1	400.4
337.6	407.9
338.2	415.6
338.7	420.4
339.3	424.8
339.8	425.9
340.4	427.0
340.9	424.5
341.5	421.8
342.0	417.0
342.5	411.4
343.1	403.3
343.6	396.3
344.2	387.2
344.7	379.8
345.3	370.2
345.8	362.4
346.4	353.3
346.9	346.0
347.4	337.0
348.0	329.7
348.5	321.2
349.1	315.0
349.6	307.4
350.2	301.5
350.7	295.0
351.2	289.7
351.8	284.6
352.3	280.7
352.9	275.8
353.4	273.1
354.0	268.4
354.5	265.6
355.1	262.1
355.6	259.9
356.1	256.3
356.7	254.7
357.2	250.2
357.8	248.7
358.3	245.0
358.9	242.6
359.4	238.9
359.9	235.7
360.5	232.0
361.0	229.2
361.6	224.4
362.1	221.6
362.7	216.5
363.2	212.3
363.8	206.9
364.3	202.1
364.8	196.5
365.4	192.4
365.9	186.4
366.5	182.5
367.0	176.2
367.6	171.1
368.1	165.5
368.7	160.8
369.2	154.2
369.7	149.7
370.3	142.5
370.8	138.1
371.4	131.1
371.9	126.4
372.5	120.7
373.0	116.7
373.5	111.7
374.1	108.5
374.6	103.8
375.2	100.7
375.7	97.5
376.3	95.4
376.8	92.9
377.4	91.0
377.9	88.1
378.4	86.9
379.0	84.6
379.5	83.9
380.1	82.0
380.6	81.1
381.2	79.8
381.7	79.6
382.3	78.4
382.8	78.2
383.3	76.6
383.9	76.7
384.4	75.3
385.0	75.4
385.5	74.3
386.1	73.9
386.6	72.5
387.1	72.6
387.7	70.3
388.2	69.7
388.8	68.3
389.3	67.8
389.9	66.4
390.4	65.9
391.0	64.5
391.5	64.5
392.0	62.4
392.6	62.2
393.1	61.0
393.7	60.8
394.2	59.3
394.8	58.9
395.3	57.4
395.8	57.0
396.4	55.5
396.9	55.7
397.5	53.5
398.0	52.9
398.6	51.4
399.1	50.6
399.7	48.8
400.2	48.5
400.7	46.3
401.3	45.7
401.8	43.9
402.4	43.1
402.9	41.7
403.5	40.6
404.0	38.3
404.6	37.7
405.1	35.3
405.6	34.6
406.2	32.7
406.7	31.7
407.3	30.1
407.8	29.1
408.4	27.4
408.9	27.0
409.4	25.0
410.0	24.4
410.5	22.9
411.1	22.4
411.6	21.3
412.2	20.6
412.7	19.2
413.3	19.2
413.8	17.7
414.3	17.4
414.9	16.2
415.4	16.1
416.0	15.0
416.5	14.9
417.1	13.9
417.6	14.3
418.1	13.0
418.7	13.2
419.2	12.5
419.8	12.6
420.3	11.9
420.9	12.3
421.4	11.4
422.0	11.7
422.5	10.8
423.0	11.4
423.6	10.6
424.1	10.5
424.7	10.1
425.2	10.7
425.8	9.6
426.3	10.0
426.9	9.0
427.4	9.4
427.9	8.6
428.5	8.8
429.0	8.2
429.6	8.3
430.1	7.3
430.7	7.6
431.2	6.8
431.7	6.9
432.3	6.3
432.8	6.4
433.4	5.8
433.9	5.9
434.5	5.3
435.0	5.6
435.6	4.6
436.1	4.8
436.6	4.3
437.2	4.5
437.7	4.0
438.3	4.1
438.8	3.4
439.4	3.7
439.9	3.0
440.5	3.3
441.0	2.9
441.5	3.0
442.1	2.6
442.6	2.8
443.2	2.4
443.7	2.7
444.3	2.1
444.8	2.5
445.3	2.3
445.9	2.4
446.4	2.1
447.0	2.3
447.5	1.7
448.1	2.1
448.6	1.5
449.2	2.0
449.7	1.5
450.2	1.7
450.8	1.5
451.3	1.6
451.9	1.3
452.4	1.5
453.0	1.1
453.5	1.5
454.0	1.1
454.6	1.3
455.1	1.1
455.7	1.3
456.2	0.9
456.8	1.4
457.3	0.8
457.9	1.3
458.4	1.1
458.9	1.2
459.5	1.1
460.0	1.4
460.6	0.9
461.1	1.1
461.7	0.8
462.2	1.2
462.8	0.9
463.3	1.0
463.8	0.8
464.4	1.0
464.9	0.5
465.5	0.9
466.0	0.5
