Nanometers	Counts
442.39300000000003	4.1
442.831	4.7
443.19599999999997	4.5
443.634	5.2
443.999	4.9
444.43699999999995	5.4
444.80199999999996	5.3
445.167	5.7
445.605	5.6
445.96999999999997	6.4
446.408	6.1
446.773	6.8
447.211	6.2
447.57599999999996	7.0
447.941	6.8
448.379	7.1
448.744	6.7
449.18199999999996	7.5
449.54699999999997	7.2
449.985	8.0
450.35	7.4
450.788	8.5
451.153	8.5
451.51800000000003	9.2
451.956	9.1
452.32099999999997	10.2
452.759	10.0
453.124	11.0
453.56199999999995	10.8
453.92699999999996	11.9
454.365	12.0
454.73	12.7
455.09499999999997	13.0
455.533	14.2
455.898	14.1
456.336	15.8
456.70099999999996	15.5
457.139	17.3
457.504	18.2
457.869	20.2
458.30699999999996	21.4
458.67199999999997	23.8
459.11	25.9
459.475	30.9
459.913	36.0
460.278	45.4
460.716	54.4
461.081	66.4
461.44599999999997	80.6
461.884	96.4
462.249	111.4
462.68699999999995	127.9
463.05199999999996	142.7
463.49	160.0
463.855	176.5
464.21999999999997	189.9
464.658	200.2
465.023	210.4
465.461	218.5
465.82599999999996	227.7
466.264	234.7
466.629	243.4
467.067	250.6
467.43199999999996	259.4
467.79699999999997	266.2
468.235	274.0
468.6	280.6
469.038	289.8
469.403	297.4
469.841	307.0
470.20599999999996	315.8
470.644	326.1
471.009	336.3
471.374	348.2
471.81199999999995	358.7
472.17699999999996	370.8
472.615	381.0
472.98	394.7
473.418	405.3
473.783	415.6
474.148	424.4
474.586	432.3
474.95099999999996	437.1
475.389	442.1
475.754	443.1
476.192	444.1
476.55699999999996	441.6
476.995	438.9
477.36	433.9
477.725	427.9
478.163	420.0
478.528	413.2
478.966	403.6
479.33099999999996	394.8
479.769	385.0
480.134	376.0
480.572	367.2
480.93699999999995	359.0
481.30199999999996	349.3
481.74	341.8
482.105	332.2
482.543	325.0
482.908	316.9
483.346	310.2
483.71099999999996	302.8
484.07599999999996	296.9
484.514	290.7
484.87899999999996	286.3
485.31699999999995	280.5
485.68199999999996	276.9
486.12	272.4
486.48499999999996	268.9
486.923	264.6
487.288	261.7
487.653	257.4
488.09099999999995	255.4
488.45599999999996	251.1
488.894	249.0
489.259	245.2
489.69699999999995	242.8
490.06199999999995	239.0
490.42699999999996	236.3
490.865	232.6
491.22999999999996	230.3
491.668	226.3
492.033	223.8
492.47099999999995	219.6
492.83599999999996	216.4
493.274	211.8
493.639	208.0
494.00399999999996	202.7
494.44199999999995	198.9
494.80699999999996	192.5
495.245	188.2
495.60999999999996	182.3
496.048	177.5
496.413	171.2
496.851	166.3
497.21599999999995	160.3
497.58099999999996	155.7
498.019	148.4
498.384	144.0
498.82199999999995	137.9
499.18699999999995	132.9
499.625	127.0
499.99	122.6
500.35499999999996	117.4
500.793	114.1
501.158	109.6
501.59599999999995	107.0
501.96099999999996	103.1
502.399	100.5
502.764	98.0
503.20199999999994	95.9
503.56699999999995	93.1
503.93199999999996	91.8
504.37	89.1
504.73499999999996	88.0
505.173	85.6
505.538	84.6
505.976	82.7
506.34099999999995	82.3
506.779	80.6
507.144	80.2
507.509	78.3
507.94699999999995	77.7
508.31199999999995	76.4
508.75	76.0
509.115	74.6
509.553	74.0
509.918	72.3
510.283	72.2
510.72099999999995	70.6
511.08599999999996	70.0
511.524	68.2
511.889	67.6
512.327	66.1
512.692	65.5
513.13	63.9
513.495	63.4
513.8599999999999	61.1
514.298	60.8
514.663	59.8
515.101	59.1
515.4659999999999	57.7
515.904	57.1
516.269	55.4
516.634	55.1
517.0719999999999	53.3
517.4369999999999	53.2
517.875	51.1
518.24	50.2
518.678	48.8
519.043	48.0
519.481	46.0
519.846	45.6
520.211	43.5
520.649	43.0
521.014	41.4
521.452	41.0
521.817	39.6
522.255	38.6
522.62	36.7
523.058	36.5
523.423	34.4
523.788	33.6
524.226	31.7
524.5909999999999	31.1
525.029	29.6
525.394	29.1
525.8319999999999	27.5
526.1969999999999	27.3
526.5619999999999	25.5
527.0	24.7
527.365	23.5
527.803	23.3
528.168	22.0
528.606	21.4
528.971	20.4
529.409	20.7
529.774	19.3
530.139	19.2
530.577	18.0
530.942	17.8
531.38	16.8
531.745	16.8
532.183	15.7
532.548	16.1
532.913	14.7
533.351	15.0
533.7159999999999	14.2
534.154	14.2
534.519	13.5
534.9569999999999	13.7
535.3219999999999	12.9
535.76	13.3
536.125	12.6
536.49	12.9
536.928	12.1
537.293	12.0
537.731	11.7
538.096	12.1
538.534	11.2
538.899	11.6
539.337	10.5
539.702	10.9
540.067	10.4
540.505	10.6
540.87	9.9
541.308	10.0
541.673	9.0
542.111	9.1
542.476	8.3
542.8409999999999	8.6
543.279	8.2
543.644	8.1
544.0819999999999	7.3
544.4469999999999	7.4
544.885	6.9
545.25	7.1
545.688	6.2
546.053	6.5
546.418	5.8
546.856	5.8
547.221	5.2
547.659	5.3
548.024	4.9
548.462	5.1
548.827	4.4
549.265	4.8
549.63	4.3
549.995	4.5
550.433	4.0
550.798	4.0
551.236	3.7
551.601	3.9
552.039	3.3
552.404	3.6
552.769	3.2
553.2069999999999	3.5
553.5719999999999	3.3
554.01	3.4
554.375	3.0
554.813	3.4
555.178	2.8
555.616	3.4
555.981	3.0
556.346	3.1
556.784	2.8
557.149	2.9
557.587	2.5
557.952	3.0
558.39	2.3
558.755	2.8
559.12	2.5
559.558	2.8
559.923	2.5
560.361	2.8
560.726	2.4
561.164	2.8
561.529	2.2
561.967	2.7
562.3319999999999	2.3
562.6969999999999	2.4
563.135	2.3
563.5	2.6
563.938	2.0
564.303	2.3
564.741	1.9
565.106	2.3
565.544	1.8
565.909	2.1
566.274	2.0
566.712	2.3
567.077	1.8
567.515	2.0
567.88	1.5
